Noun,A+N,F+N,all+N,O-Den,Bare Singular,Bare Plural,Non-Denumerators,a/an,number,digits,plural numeral,approximative,comparative,round numbers,imprecise quantifier,precise quantifier,non denumerating quantifier,measure,non quantificational,partitive,the,N/A,Celex_Countable,Celex_Uncountable,Noun Count,Plural Noun Percentage
starter,0.006702413,0.017426273,0,0.810991957,0.013,0.554,0.138069705,0.006702413,0.650134048,0.154155496,0,0,0,0,0.016085791,0.016085791,0,0,0.018766756,0,0.116621984,0.017426273,1,0,2071,0.952
starters,0,0,0,0,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0
starting-point,0.285714286,0,0,0,0.091,0.091,0.714285714,0.285714286,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0.571428571,0,1,0,12,0.167
starvation,0.03125,0,0,0,0.72,0.002,0.96875,0.03125,0,0,0,0,0,0,0,0,0,0,0.0625,0,0.90625,0,0,1,680,0.001
starveling,0.333333333,0,0,0,0,0.4,0.666666667,0.333333333,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0.333333333,0,1,0,5,0.8
state,0.153297286,0.030235105,0.000633106,0.120307313,0.151,0.144,0.684541939,0.147154444,0.049964067,0.043701448,0.000410664,0.000256665,0.001317546,6.84E-05,0.028318675,0.034204853,6.84E-05,0.000359331,0.060846651,0,0.623267513,0.010027035,1,1,144955,0.195
statecraft,0.444444444,0,0,0,0.84,0,0.555555556,0.444444444,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0.444444444,0,0,1,127,0
statehood,0,0,0,0.166666667,0.897,0,0.666666667,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0.666666667,0.166666667,0,1,479,0
statehouse,0.03,0,0,0,0.024,0.106,0.97,0.03,0,0,0,0,0,0,0,0,0,0,0.01,0,0.96,0,1,0,160,0.119
statelessness,0,0,0,0,0.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0
